tahun,daerah,sub_indikator,kelahiran_hidup_lp,kelahiran_mati_lp,kelahiran_hidup_mati_lp,lahir_hidup,kematian_ibu,perdarahan,hipertensi,infeksi,kelainan_jantung_pembuluh,gangguan_autoimun,ibu_hamil,ibu_hamil_k1,persen_ibu_hamil_k1,ibu_hamil_k4,persen_ibu_hamil_k4,ibu_nifas,persalinan_nakes,persen_persalinan_nakes,persalinan_fasyankes,persen_persalinan_fasyankes,ibu_bersalin_kf1,persen_ibu_bersalin_kf1,ibu_bersalin_kf2,persen_ibu_bersalin_kf2,kf_lengkap,persen_kf_lengkap,ibu_nifas_vit_a,persen_ibu_nifas_vit_a,jumlah_ibu_hamil.1,jumlah_ibu_hamil_td1,persentase_ibu_hamil_td1,jumlah_ibu_hamil_td2,persentase_ibu_hamil_td2,jumlah_ibu_hamil_td3,persentase_ibu_hamil_td3,jumlah_ibu_hamil_td4,persentase_ibu_hamil_td4,jumlah_ibu_hamil_td5,persentase_ibu_hamil_td5,jumlah_ibu_hamil_td2+,persentase_ibu_hamil_td2+,jumlah_wus_tidak_hamil_(15-39_tahun),jumlah_wus_tidak_hamil_(15-39_tahun)_td1,persentase_wus_tidak_hamil_(15-39_tahun)_td1,jumlah_wus_tidak_hamil_(15-39_tahun)_td2,persentase_wus_tidak_hamil_(15-39_tahun)_td2,jumlah_wus_tidak_hamil_(15-39_tahun)_td3,persentase_wus_tidak_hamil_(15-39_tahun)_td3,jumlah_wus_tidak_hamil_(15-39_tahun)_td4,persentase_wus_tidak_hamil_(15-39_tahun)_td4,jumlah_wus_tidak_hamil_(15-39_tahun)_td5,persentase_wus_tidak_hamil_(15-39_tahun)_td5,jumlah_ibu_hamil.2,jumlah_ibu_hamil_yang_mendapatkan_ttd_(90_tablet),ibu_hamil_yang_mendapatkan_ttd_(90_tablet),jumlah_pus,jumlah_peserta_kb_kondom,persentase_peserta_kb_kondom,jumlah_peserta_kb_suntik,persentase_peserta_kb_suntik,jumlah_peserta_kb_pil,persentase_peserta_kb_pil,jumlah_peserta_kb_akdr,persentase_peserta_kb_akdr,jumlah_peserta_kb_mop,persentase_peserta_kb_mop,jumlah_peserta_kb_mow,persentase_peserta_kb_mow,jumlah_peserta_kb_implan,persentase_peserta_kb_implan,jumlah_peserta_kb,persentase_peserta_kb,perkiraan_bumil_dengan_komplikasi_kebidanan,jumlah_bumil_dengan_komplikasi_kebidanan_ditangani_,persentase_bumil_dengan_komplikasi_kebidanan_ditangani_
2018-01-01,KALIMANTAN BARAT,Kab. Sambas,10800,95,10895,10800,6,1,2,0,1,0,13044,12125,93,10739,82,12451,10722,86,10625,85,6039,85,5881,85,5721,83,10732,86,13044,1626,13,1849,14,2478,19,1898,15,1434,11,7659,59,100326,2455,2,2000,2,2259,2,1943,2,1415,1,13044,10694,82,67070,1570,2,35379,43,33148,41,4007,5,455,1,1828,2,5201,6,81588,100,2609,2598,100
2018-01-01,KALIMANTAN BARAT,Kab. Bengkayang,4938,36,4974,4938,7,0,0,2,0,0,6166,5867,95,5368,87,5885,4872,83,4830,82,6039,85,5881,85,5721,83,4957,84,6166,2746,45,2323,38,914,15,616,10,814,13,4667,76,49655,1504,3,1308,3,654,1,456,1,468,1,6166,5304,86,67070,1299,4,11816,37,9661,30,1578,5,106,0,2191,7,5617,17,32268,100,1233,793,64
2018-01-01,KALIMANTAN BARAT,Kab. Landak,6968,57,7025,6968,6,2,3,0,0,0,7922,7857,99,7261,92,7562,6845,91,6704,89,6039,85,5881,85,5721,83,6778,90,7922,4110,52,3402,43,1788,23,1273,16,1284,16,7747,98,74723,1676,2,1514,2,827,1,585,1,483,1,7922,6909,87,67070,747,1,24975,48,21480,42,1281,3,328,1,633,1,2198,4,51642,100,1584,1323,84
2018-01-01,KALIMANTAN BARAT,Kab. Mempawah,4529,30,4559,4529,2,3,2,0,1,0,5730,5066,88,4709,82,5469,4339,79,4204,77,6039,85,5881,85,5721,83,4423,81,5730,911,16,999,17,805,14,627,11,544,10,2975,52,50382,1160,2,1263,3,1342,3,1171,2,1508,3,5730,4555,79,67070,1565,4,17296,44,13308,34,2277,6,733,2,1101,3,2869,7,39149,100,1146,700,61
2018-01-01,KALIMANTAN BARAT,Kab. Sanggau,9025,51,9076,9025,8,4,4,1,1,0,10058,10527,105,9539,95,9601,8519,89,8589,90,6039,85,5881,85,5721,83,8991,94,10058,466,5,618,6,2125,21,2977,30,4341,43,10061,100,95136,793,1,614,1,2137,2,2480,3,2929,3,10058,9539,95,67070,519,1,33208,52,22783,36,2598,4,286,1,689,1,3336,5,63419,100,2012,1387,69
2018-01-01,KALIMANTAN BARAT,Kab. Ketapang,8631,54,8685,8631,10,3,6,0,0,0,11251,10290,92,8791,78,10739,8236,77,7751,72,6039,85,5881,85,5721,83,8218,77,11251,2095,19,2199,20,1749,16,1338,12,1439,13,6725,60,105653,2640,3,2556,2,1903,2,1566,2,1642,2,11251,8642,77,67070,825,1,33486,50,21954,33,2064,3,138,0,1243,2,7691,11,67401,100,2250,1384,62
2018-01-01,KALIMANTAN BARAT,Kab. Sintang,8258,49,8307,8258,11,7,2,0,1,0,9643,8847,92,8445,88,9204,7919,86,8228,89,6039,85,5881,85,5721,83,8274,90,9643,507,5,657,7,864,9,932,10,1100,11,3553,37,101470,521,1,623,1,852,1,842,1,710,1,9643,8445,88,67070,777,1,27713,46,23242,39,2956,5,209,0,863,1,4023,7,59783,100,1929,1546,80
2018-01-01,KALIMANTAN BARAT,Kab. Kapuas Hulu,4222,55,4277,4222,3,1,1,0,0,0,5646,4616,82,3508,62,5390,3919,73,3939,73,6039,85,5881,85,5721,83,4191,78,5646,447,8,746,13,782,14,478,9,852,15,2858,51,52955,507,1,430,1,411,1,360,1,503,1,5646,3734,66,67070,268,1,19949,55,11352,31,479,1,121,0,544,2,3400,9,36113,100,1129,886,79
2018-01-01,KALIMANTAN BARAT,Kab. Sekadau,3102,27,3129,3102,3,1,0,0,1,0,4333,3661,85,3342,77,4136,2849,69,2932,71,6039,85,5881,85,5721,83,2992,72,4333,2165,50,1810,42,776,18,606,14,451,10,3643,84,40218,1256,3,1154,3,349,1,130,0,182,1,4333,3308,76,67070,305,2,9249,58,3773,24,656,4,121,1,253,2,1716,11,16073,100,867,622,72
2018-01-01,KALIMANTAN BARAT,Kab. Melawi,3225,23,3248,3225,4,3,0,0,0,0,4461,4049,91,3713,83,4258,2881,68,3013,71,6039,85,5881,85,5721,83,3127,73,4461,1541,35,1103,25,396,9,275,6,265,6,2039,46,44690,1381,3,1028,2,391,1,243,1,263,1,4461,3713,83,67070,1749,6,13710,43,12812,40,1149,4,71,0,162,1,2099,7,31752,100,892,249,28
2018-01-01,KALIMANTAN BARAT,Kab. Kayong Utara,1962,24,1986,1962,1,2,1,0,0,0,2719,2394,88,1799,66,2596,1854,71,1679,65,6039,85,5881,85,5721,83,2004,77,2719,800,29,673,25,338,12,199,7,157,6,1367,50,22540,562,3,504,2,306,1,174,1,125,1,2719,1853,68,67070,239,1,11761,69,3078,18,295,2,16,0,166,1,1381,8,16936,100,544,278,51
