Tahun,Daerah,SUB INDIKATOR,JUMLAH LAHIR HIDUP,NEONATAL (L+P),KEMATIAN BAYI (L+P),JUMLAH KEMATIAN BALITA (L+P),JUMLAH KEMATIAN IBU,JUMLAH SEMUA KASUS TBC (L+P),JUMLAH PERKIRAAN PNEUMONIA BALITA,PENEMUAN KASUS DIARE SEMUA UMUR DILAYANI ,TOTAL KASUS Kusta PB + MB (L+P),JUMLAH PENDERITA KUSTA ANAK < 15 TAHUN,JUMLAH KASUS BARU PENDERITA KUSTA CACAT TINGKAT 2,JUMLAH PENDERITA BARU KUSTA PB TAHUN -1,PENDERITA BARU KUSTA MB RFT TAHUN-2,JUMLAH KASUS AFP (NON POLIO),JUMLAH KASUS DIFTERI (L+P),JUMLAH SUSPEK CAMPAK (L+P),JUMLAH KLB DI DESA/KELURAHAN DITANGANI <24 JAM,JUMLAH IBU HAMIL K1,JUMLAH IBU HAMIL K4,JUMLAH PERSALINAN DITOLONG NAKES,JUMLAH IBU NIFAS,JUMLAH IBU NIFAS MENDAPAT VIT A,JUMLAH IBU HAMIL Td2+,JUMLAH IBU HAMIL YANG MENDAPATKAN TTD (90 TABLET),JUMLAH BUMIL DENGAN KOMPLIKASI KEBIDANAN DITANGANI ,PENANGANAN KOMPLIKASI NEONATAL (L+P),JUMLAH PESERTA KB,JUMLAH BBLR,JUMLAH KUNJUNGAN NEONATAL 1 KALI (KN1) (L+P),JUMLAH KUNJUNGAN NEONATAL 3 KALI (KN1) (L+P),JUMLAH BAYI USIA <6 BULAN DIBERI ASI EKSKLUSIF,PELAYANAN KESEHATAN BAYI (L+P),JUMLAH DESA/ KELURAHAN KELURAHAN UNIVERSAL CHILD IMMUNIZATION (UCI),BAYI DIIMUNISASI CAMPAK/ MMR (L + P),BAYI DIIMUNISASI LENGKAP (L + P),JUMLAH ANAK BALITA (12-59 BULAN)  MENDAPAT VIT A,JUMLAH BALITA DITIMBANG (D) (L+P),JUMLAH BALITA DILAYANI MTBS,JUMLAH BALITA BERAT BADAN KURANG(BB/U) ATAU UNDERWEIGHT,JUMLAH BALITA GIZI BURUK (BB/TB: < -3 SD),PELAYANAN KESEHATAN PADA USIA PENDIDIKAN DASAR,JUMLAH SARANA AIR MINUM YANG DIAWASI/ DIPERIKSA KUALITAS AIR MINUMNYA SESUAI STANDAR (AMAN),"JUMLAH SARANA AIR MINUM MEMENUHI
SYARAT",JUMLAH DESA/KELURAHAN  STBM,JUMLAH TPM MEMENUHI SYARAT KESEHATAN,JUMLAH POSYANDU AKTIF,JUMLAH POSBINDU PTM
2018-01-01,KALIMANTAN BARAT,Kab. Sambas,10800,73,92,98,6,999,1116,4668,0,0,0,0,0,4,2,5,2,12125,10739,10722,12451,10732,7659,10694,2598,1138,81588,493,0,0,6009,9589,143,10665,10516,39968,439693,0,0,8,0,96.5,0,107,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Bengkayang,4938,37,48,51,7,214,524,2936,0,0,0,0,0,0,0,26,0,5867,5368,4872,5885,4957,4667,5304,793,349,32268,122,0,0,1424,4843,82,4497,4331,16647,118381,0,0,48,0,96.5,0,108,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Landak,6968,19,29,34,6,670,780,7470,0,0,0,0,0,6,1,59,2,7857,7261,6845,7562,6778,7747,6909,1323,1049,51642,418,0,0,2567,6314,130,5724,5100,25973,307801,0,0,7,0,96.5,0,113,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Mempawah,4529,21,26,26,2,204,554,5709,4,0,0,2,5,2,1,48,2,5066,4709,4339,5469,4423,2975,4555,700,263,39149,124,0,0,2193,4088,38,3890,3525,13927,110381,0,0,12,0,96.5,0,23,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Sanggau,9025,48,58,58,8,856,1169,6999,6,0,0,0,11,4,2,80,4,10527,9539,8519,9601,8991,10061,9539,1387,965,63419,102,0,0,1567,5244,106,12422,7933,20990,192100,0,0,69,0,96.5,0,109,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Ketapang,8631,42,60,62,10,555,1050,4706,5,1,0,1,25,1,6,19,6,10290,8791,8236,10739,8218,6725,8642,1384,629,67401,387,0,0,5178,6530,198,8578,7937,25256,259241,0,0,58,0,96.5,0,187,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Sintang,8258,61,74,81,11,588,865,2451,1,0,0,1,0,2,0,21,2,8847,8445,7919,9204,8274,3553,8445,1546,677,59783,300,0,0,4318,7088,345,7011,6640,25420,305139,0,0,31,0,96.5,0,48,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Kapuas Hulu,4222,46,65,70,3,363,531,3666,0,0,0,0,0,0,0,44,0,4616,3508,3919,5390,4191,2858,3734,886,407,36113,296,0,0,410,3969,142,4398,3968,16207,145682,0,0,103,0,96.5,0,92,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Sekadau,3102,19,21,22,3,451,415,2324,0,0,0,0,0,3,0,112,1,3661,3342,2849,4136,2992,3643,3308,622,195,16073,55,0,0,1602,3019,61,3851,3209,12448,134734,0,0,2,0,96.5,0,86,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Melawi,3225,23,29,29,4,223,430,1922,0,0,0,0,0,1,0,7,0,4049,3713,2881,4258,3127,2039,3713,249,75,31752,186,0,0,1535,2830,138,3141,2989,12049,103837,0,0,1,0,96.5,0,69,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Kayong Utara,1962,28,36,39,1,134,222,3607,19,1,0,3,11,1,0,3,0,2394,1799,1854,2596,2004,1367,1853,278,79,16936,56,0,0,474,1528,36,1858,1714,8480,65770,0,0,1,0,96.5,0,18,0,0,0
2018-01-01,KALIMANTAN BARAT,Kab. Kubu Raya,8856,37,38,39,14,532,1324,6192,10,2,0,0,0,4,12,91,16,12093,11162,10615,11903,10641,7671,11123,1500,425,65283,144,0,0,1311,9606,87,8917,7556,28909,292677,0,0,12,0,96.5,0,32,0,0,0
2018-01-01,KALIMANTAN BARAT,Kota Pontianak,12082,29,30,31,6,1229,1290,8874,7,1,0,1,13,3,22,47,26,12582,12487,12070,12192,11914,11092,12487,2710,1715,70243,105,0,0,2887,9197,20,10313,10324,41061,372419,0,0,29,0,96.5,0,24,0,0,0
2018-01-01,KALIMANTAN BARAT,Kota Singkawang,4315,30,32,37,5,868,456,3042,0,0,0,0,0,0,6,91,6,4942,4656,4289,4711,4315,2299,4656,665,341,22775,19,0,0,966,2605,8,3016,2875,14732,70293,0,0,16,0,96.5,0,17,0,0,0
2019-01-01,KALIMANTAN BARAT,Kab. Sambas,10473,69,80,89,9,1042,1129,5948,0,0,0,0,0,1,1,0,2,11976,10699,10360,12240,10459,7000,12082,2649,435,66560,0,10449,10320,5983,9820,146,10745,10737,40373,32745,5103,4651,59,14045.0,96.5,1,145,244,241,0
2019-01-01,KALIMANTAN BARAT,Kab. Bengkayang,4502,40,55,65,2,285,541,2871,0,0,0,0,0,0,6,12,5,5495,4984,4390,5856,4480,3115,6155,703,959,35156,0,4481,4280,1243,5010,80,4096,3978,32196,5579,5103,684,59,14045.0,96.5,19,85,419,163,79
2019-01-01,KALIMANTAN BARAT,Kab. Landak,6341,14,20,23,7,497,800,5987,0,0,0,0,0,1,0,19,1,7384,6434,6172,7500,6312,5465,6336,1236,229,89376,0,6616,6510,2602,6641,139,6721,6521,24349,22819,5103,3598,59,15454,96.5,69,76,250,133,158
2019-01-01,KALIMANTAN BARAT,Kab. Mempawah,4973,15,21,22,7,361,560,3297,6,0,0,1,0,2,0,6,1,5385,5085,4774,5409,4904,2620,4911,948,617,56734,0,4946,4926,1919,4973,38,3721,3617,15591,11022,5103,655,59,9797,96.5,1811,14,172,21,68
2019-01-01,KALIMANTAN BARAT,Kab. Sanggau,8644,53,66,67,14,801,1172,5831,4,0,0,0,0,3,0,3,0,9765,8968,8198,9525,8569,8518,8968,1581,632,54427,0,8392,8313,1194,6838,107,7734,8423,18281,13536,5103,1343,59,14045.0,96.5,62,127,658,304,58
2019-01-01,KALIMANTAN BARAT,Kab. Ketapang,8292,32,39,43,17,660,1087,6928,9,0,0,1,11,2,0,9,0,10255,8233,7762,10703,7527,7179,7860,1443,703,60136,0,8116,7456,4116,7826,210,8059,7833,24828,24599,5103,881,59,6275,96.5,86,118,764,81,223
